# gunzip -c exp/tri3b_mmi/decode2/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri3b/graph 
# Started at Tue May  7 18:17:50 KST 2019
#
At utterance begin, SIL accounts for 99.8% of phone occurrences, with duration (median, mean, 95-percentile) is (35,38.4,51) frames.
At utterance end, SIL accounts for 98.8% of phone occurrences, with duration (median, mean, 95-percentile) is (38,41.7,58) frames.
At utterance end, nonsilence accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (50,49.1,67) frames.
At utterance end, NN_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (53,54.0,70) frames.
Overall, nonsilence accounts for 87.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,22) frames.
Overall, SIL accounts for 12.9% of phone occurrences, with duration (median, mean, 95-percentile) is (36,38.4,55) frames.
Overall, a_I accounts for 5.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,15) frames.
Overall, i_I accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,17) frames.
Overall, ww_I accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,14) frames.
Overall, v_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,14) frames.
Overall, g_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,11) frames.
Overall, o_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,15) frames.
Overall, r_I accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,7) frames.
Overall, NN_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.5,25) frames.
Overall, OO_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.9,15) frames.
Overall, u_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,14) frames.
Overall, n_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,11) frames.
Overall, s_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,16) frames.
Overall, NN_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,14) frames.
Overall, d_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,10) frames.
Overall, g_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
Overall, j_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, a_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (19,18.4,32) frames.
Overall, LL_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,12) frames.
Overall, EE_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,15) frames.
Overall, i_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (14,17.2,39) frames.
Overall, yv_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.3,18) frames.
Overall, s_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,20) frames.
Overall, h_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.1,11) frames.
Overall, LL_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.9,26) frames.
Overall, m_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,13) frames.
Overall, j_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,18) frames.
Overall, o_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.0,35) frames.
Overall, e_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,17) frames.
Overall, TT_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.8,16) frames.
Overall, d1_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,18) frames.
Overall, b_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,12) frames.
Overall, h_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,18) frames.
Overall, d_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,12) frames.
Overall, KK_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,14) frames.
Overall, b_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,13) frames.
Overall, MM_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,15) frames.
Overall, i_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,20) frames.
Overall, e_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.5,42) frames.
Overall, OO_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.1,25) frames.
Overall, m_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,13) frames.
Overall, c_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.6,22) frames.
Overall, p_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,19) frames.
Overall, g1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,19) frames.
Overall, n_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,13) frames.
Overall, t_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.2,21) frames.
Overall, wa_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,18) frames.
Overall, s1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,20) frames.
Overall, v_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.1,34) frames.
Overall, wi_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (19,21.5,44) frames.
Overall, we_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,21) frames.
The optional-silence phone SIL occupies 37.4% of frames overall 
